team,season,adj_off_eff,adj_def_eff,adj_tempo,adj_em,efficiency_differential,seed
College of Charleston,1997,109.039,99.6981,67.8944,9.34058,9.340900000000005,
Hawaii,1997,107.642,98.323,69.2377,9.31944,9.319000000000003,
New Mexico St.,1997,111.977,102.732,70.242,9.24565,9.245000000000005,
UNLV,1997,102.802,93.67,69.5111,9.13188,9.132000000000005,
Alabama,1997,107.627,98.6024,64.8968,9.02477,9.024599999999992,
Memphis,1997,100.142,91.3413,66.7485,8.80077,8.800699999999992,
Oklahoma St.,1997,112.567,103.771,62.628,8.79595,8.795999999999992,
South Alabama,1997,104.052,95.5965,59.3588,8.45595,8.4555,
Fresno St.,1997,109.117,100.731,75.2847,8.38565,8.38600000000001,
Washington St.,1997,109.303,100.957,69.3426,8.34588,8.346000000000004,
Virginia Tech,1997,100.899,92.6128,61.9791,8.2858,8.286200000000008,
Ohio St.,1997,105.152,97.0457,67.8348,8.10665,8.106300000000005,
Northern Iowa,1997,106.934,99.3302,68.6922,7.60382,7.603799999999993,
Valparaiso,1997,107.545,100.046,66.287,7.49878,7.498999999999995,
Canisius,1997,101.134,93.866,61.4004,7.26763,7.268000000000001,
New Orleans,1997,105.338,98.139,65.7108,7.19949,7.198999999999998,
Wichita St.,1997,103.985,96.7873,64.5712,7.19773,7.1976999999999975,
Boston University,1997,100.173,93.0008,66.0946,7.1724,7.172200000000004,
LIU Brooklyn,1997,108.914,102.267,82.2887,6.64658,6.647000000000006,
Eastern Michigan,1997,110.701,104.259,71.8644,6.44256,6.441999999999993,
Utah St.,1997,107.885,101.566,62.1355,6.31971,6.319000000000003,
St. Bonaventure,1997,103.431,97.1698,70.6065,6.26164,6.261200000000002,
Ohio,1997,108.204,102.114,66.7057,6.09024,6.089999999999989,
Iona,1997,109.629,103.696,69.6885,5.93297,5.933000000000007,
Old Dominion,1997,103.656,97.8054,67.4726,5.85078,5.8506,
Colorado St.,1997,107.639,101.815,68.0928,5.82346,5.823999999999998,
Creighton,1997,106.66,100.982,64.0518,5.67867,5.677999999999997,
Santa Clara,1997,105.335,99.6781,68.1759,5.65708,5.656899999999993,
Chattanooga,1997,108.317,103.18,65.0301,5.1365,5.136999999999986,
Baylor,1997,100.947,95.8131,71.1054,5.13426,5.133899999999997,
Auburn,1997,102.351,97.2399,64.3911,5.11152,5.111099999999993,
Florida,1997,108.793,103.909,68.7392,4.88401,4.884,
St. Mary's,1997,104.686,99.8244,65.5308,4.86177,4.86160000000001,
Nevada,1997,107.697,102.93,68.0216,4.76692,4.766999999999996,
East Carolina,1997,105.281,100.748,62.9632,4.53315,4.533000000000001,
UAB,1997,101.41,97.0758,66.0906,4.3345,4.334199999999996,
Rice,1997,101.475,97.231,65.6407,4.2438,4.244,
Detroit,1997,103.751,99.5508,62.8146,4.20006,4.2002000000000095,
Boise St.,1997,100.528,96.506,64.2414,4.02187,4.022000000000006,
SMU,1997,106.502,102.551,64.2788,3.95075,3.9509999999999934,
Seton Hall,1997,99.003,95.3725,71.9982,3.63047,3.630499999999998,
Dartmouth,1997,100.584,96.9775,67.4434,3.60624,3.606499999999997,
Dayton,1997,105.069,101.566,67.062,3.50304,3.503,
San Diego,1997,105.354,101.979,67.6285,3.375,3.375,
Evansville,1997,103.114,99.9767,63.3211,3.13706,3.1373000000000104,
Rutgers,1997,101.665,98.6125,67.0581,3.05285,3.052500000000009,
Monmouth,1997,104.41,101.359,64.2103,3.05094,3.051000000000002,
La Salle,1997,102.62,99.5888,65.8546,3.03111,3.0311999999999983,
Oregon St.,1997,101.368,98.3716,70.3179,2.99669,2.996399999999994,
Southern Illinois,1997,105.4,102.516,70.7986,2.88358,2.8840000000000003,
Wyoming,1997,106.741,104.105,65.2483,2.63591,2.6359999999999957,
VCU,1997,105.823,103.237,66.7779,2.58614,2.5859999999999985,
Kansas St.,1997,97.4648,95.0051,68.3149,2.45964,2.459699999999998,
Coppin St.,1997,103.721,101.262,71.0137,2.45882,2.459000000000003,
Duquesne,1997,105.777,103.472,72.0684,2.30542,2.305000000000007,
Louisiana Tech,1997,101.733,99.4988,61.8829,2.23405,2.2342000000000013,
UTEP,1997,105.283,103.133,63.7417,2.15044,2.1500000000000057,
Penn St.,1997,100.73,98.6284,65.0096,2.10166,2.101600000000005,
Ball St.,1997,103.724,101.623,70.4665,2.10081,2.100999999999999,
Northern Arizona,1997,102.667,100.585,69.5674,2.08162,2.082000000000008,
Wisconsin Green Bay,1997,95.479,93.4748,60.1395,2.00425,2.0041999999999973,
LSU,1997,98.8282,97.0138,69.8825,1.81442,1.814399999999992,
Delaware,1997,102.398,100.766,72.7111,1.63285,1.6319999999999908,
Texas A&M,1997,96.4845,95.0853,68.351,1.39923,1.3991999999999933,
Mississippi St.,1997,99.5627,98.2482,67.9784,1.31444,1.3145000000000095,
Harvard,1997,103.36,102.204,65.8856,1.15617,1.156000000000006,
Montana,1997,101.092,99.9957,68.3447,1.09644,1.0962999999999994,
Southern Miss,1997,97.2583,96.2283,63.9305,1.03004,1.0300000000000011,
Davidson,1997,104.621,103.599,68.7139,1.02236,1.0219999999999914,
Hartford,1997,100.068,99.3234,72.8397,0.744561,0.7445999999999913,
Toledo,1997,104.765,104.093,66.6605,0.672443,0.671999999999997,
Western Michigan,1997,101.098,100.478,65.2495,0.62038,0.6200000000000045,
Western Illinois,1997,106.742,106.13,68.1434,0.612556,0.612000000000009,
Richmond,1997,101.378,100.985,66.1101,0.392959,0.3930000000000007,
Gonzaga,1997,104.134,103.819,66.7743,0.315292,0.3149999999999977,
Illinois Chicago,1997,101.885,101.687,65.4963,0.197693,0.1980000000000075,
San Francisco,1997,106.774,106.586,63.3227,0.188639,0.1880000000000024,
Houston,1997,105.629,105.473,70.7874,0.156471,0.1560000000000059,
Arizona St.,1997,100.071,100.114,69.7575,-0.0438282,-0.043000000000006366,
San Jose St.,1997,101.324,101.557,67.2845,-0.233057,-0.2330000000000041,
Penn,1997,101.584,102.017,67.6239,-0.432355,-0.4329999999999927,
UNC Wilmington,1997,100.569,101.012,59.4586,-0.442784,-0.44299999999999784,
James Madison,1997,100.738,101.181,67.8438,-0.442954,-0.44299999999999784,
Tennessee,1997,91.9742,92.6719,64.2302,-0.697784,-0.6976999999999975,
Cal Poly,1997,107.911,108.612,73.3979,-0.701189,-0.7009999999999934,
Arkansas Little Rock,1997,104.304,105.348,68.3469,-1.04378,-1.043999999999997,
Long Beach St.,1997,103.034,104.183,68.4182,-1.14922,-1.149000000000001,
Liberty,1997,98.7091,99.9345,63.5482,-1.22535,-1.2253999999999934,
Marshall,1997,108.056,109.311,69.933,-1.25521,-1.2550000000000097,
Akron,1997,97.2743,98.5404,68.9553,-1.26609,-1.2661000000000087,
Loyola MD,1997,99.87,101.313,68.7019,-1.44327,-1.4429999999999978,
Cal St. Northridge,1997,99.9775,101.517,73.5306,-1.5395,-1.5394999999999897,
Bucknell,1997,100.646,102.372,66.2339,-1.72594,-1.725999999999999,
Buffalo,1997,98.1487,100.604,69.1626,-2.4549,-2.455299999999994,
Navy,1997,101.811,104.284,67.0993,-2.47353,-2.472999999999999,
Northeastern Illinois,1997,101.705,104.208,71.2506,-2.50358,-2.503,
Northwestern,1997,96.9426,99.4651,64.3367,-2.52252,-2.522500000000008,
Indiana St.,1997,101.803,104.417,69.5078,-2.61478,-2.6140000000000043,
William & Mary,1997,100.258,103.034,66.4589,-2.77569,-2.7760000000000105,
Murray St.,1997,103.744,106.637,68.2619,-2.89319,-2.8930000000000007,
San Diego St.,1997,103.184,106.116,71.3373,-2.93281,-2.932000000000002,
Hofstra,1997,96.3514,99.4931,68.9351,-3.14165,-3.1417,
Middle Tennessee St.,1997,104.864,108.345,67.407,-3.48116,-3.4809999999999945,
Lamar,1997,98.1193,101.757,71.0476,-3.63779,-3.6377000000000095,
Austin Peay,1997,105.285,108.954,67.4124,-3.66886,-3.668999999999997,
Saint Louis,1997,94.1717,97.8877,62.6377,-3.71597,-3.715999999999994,
Mount St. Mary's,1997,102.597,106.393,67.9641,-3.7969,-3.7960000000000065,
Cal St. Fullerton,1997,104.649,108.456,69.4003,-3.80661,-3.807000000000002,
UNC Asheville,1997,96.5266,100.438,68.8187,-3.9115,-3.9114000000000004,
McNeese St.,1997,101.383,105.574,75.1386,-4.19084,-4.1910000000000025,
Charleston Southern,1997,98.8793,103.165,70.5935,-4.28598,-4.285700000000006,
Fairleigh Dickinson,1997,100.896,105.289,68.9808,-4.39324,-4.393000000000001,
Western Kentucky,1997,103.285,107.729,69.1604,-4.44398,-4.444000000000003,
Rider,1997,101.412,105.865,66.7936,-4.45285,-4.452999999999989,
Kent,1997,99.607,104.096,67.7354,-4.48869,-4.489000000000004,
FIU,1997,101.481,106.092,73.6555,-4.61018,-4.611000000000004,
Appalachian St.,1997,104.907,109.609,64.1643,-4.70212,-4.701999999999998,
American,1997,97.8112,102.554,67.8922,-4.74231,-4.742800000000003,
Fairfield,1997,98.3804,103.425,68.089,-5.04417,-5.044600000000003,
Montana St.,1997,101.092,106.458,71.3848,-5.3654,-5.366,
Weber St.,1997,105.986,111.408,71.8974,-5.42193,-5.421999999999997,
Idaho St.,1997,96.7535,102.212,71.0684,-5.45851,-5.458500000000001,
St. Francis PA,1997,97.5325,103.189,69.0181,-5.657,-5.656499999999994,
Loyola Chicago,1997,98.321,104.003,65.9467,-5.68196,-5.682000000000002,
Arkansas St.,1997,98.8655,104.704,70.4896,-5.83863,-5.838499999999996,
Troy St.,1997,100.138,106.029,75.3711,-5.89139,-5.890999999999991,
Northern Illinois,1997,100.808,106.734,66.898,-5.92599,-5.925999999999988,
Towson St.,1997,104.901,111.192,70.9064,-6.2918,-6.290999999999997,
St. Peter's,1997,90.3224,96.6148,66.073,-6.29245,-6.292400000000001,
Southwest Texas St.,1997,98.3039,104.746,66.4462,-6.44166,-6.442099999999996,
UC Santa Barbara,1997,100.733,107.185,67.0048,-6.45139,-6.451999999999998,
George Mason,1997,99.4902,106.231,79.8233,-6.74039,-6.740799999999993,
Southwestern Louisiana,1997,103.024,109.795,70.5076,-6.77132,-6.771000000000001,
South Florida,1997,93.4534,100.427,65.3452,-6.97382,-6.973600000000005,
Radford,1997,105.903,113.055,68.4195,-7.15226,-7.152000000000001,
Cornell,1997,96.7179,103.889,65.2175,-7.17083,-7.171099999999996,
Maine,1997,97.5878,104.782,65.1909,-7.19467,-7.194199999999995,
Colgate,1997,96.9455,104.21,70.7302,-7.26432,-7.264499999999998,
Manhattan,1997,97.0248,104.321,63.2433,-7.29622,-7.296199999999999,
Northeast Louisiana,1997,95.7881,103.091,68.937,-7.30331,-7.302899999999994,
Pepperdine,1997,90.1981,97.5434,66.2145,-7.34534,-7.345300000000009,
Air Force,1997,97.3865,104.733,67.0688,-7.34675,-7.346500000000006,
Florida Atlantic,1997,93.7589,101.278,70.0564,-7.51879,-7.519100000000009,
Niagara,1997,96.6533,104.183,70.3713,-7.52944,-7.529700000000005,
North Texas,1997,94.7913,102.356,68.4189,-7.56508,-7.564699999999988,
Drake,1997,95.9561,103.607,69.1152,-7.65043,-7.650899999999993,
Portland,1997,96.412,104.148,68.002,-7.7357,-7.73599999999999,
Cleveland St.,1997,99.2299,106.97,68.7788,-7.74006,-7.740099999999998,
Idaho,1997,98.1651,106.125,62.2167,-7.96033,-7.959900000000005,
Vermont,1997,95.9749,104.272,70.0961,-8.29689,-8.2971,
Mississippi Valley St.,1997,99.0608,107.463,74.149,-8.40232,-8.402199999999993,
Fordham,1997,97.6793,106.103,64.574,-8.42378,-8.423699999999997,
Tennessee Tech,1997,97.8287,106.287,70.4805,-8.45871,-8.458300000000008,
North Carolina A&T,1997,97.9292,106.446,67.6132,-8.51646,-8.516800000000003,
Jackson St.,1997,93.4272,101.974,70.7061,-8.54726,-8.546800000000005,
Siena,1997,95.2924,103.947,69.3996,-8.65474,-8.654600000000002,
Southern Utah,1997,94.0425,102.753,65.8487,-8.71094,-8.710499999999996,
Loyola Marymount,1997,99.1222,108.355,68.4188,-9.23303,-9.232799999999997,
South Carolina St.,1997,99.4315,109.007,63.8971,-9.57595,-9.575500000000005,
DePaul,1997,88.0107,97.6111,68.5274,-9.60047,-9.600399999999993,
The Citadel,1997,98.7964,108.618,66.1725,-9.82183,-9.82159999999999,
Wright St.,1997,102.465,112.486,65.1388,-10.021,-10.021,
UNC Greensboro,1997,99.9761,110.084,63.6195,-10.1076,-10.1079,
Western Carolina,1997,95.7464,105.945,71.2773,-10.1986,-10.198599999999999,
Tennessee St.,1997,95.8812,106.337,72.296,-10.4555,-10.455799999999996,
Wagner,1997,95.4413,106.099,73.261,-10.6575,-10.657700000000006,
Central Michigan,1997,99.805,110.477,73.1731,-10.6719,-10.671999999999997,
Southeast Missouri St.,1997,93.7611,104.534,72.898,-10.7733,-10.772900000000007,
Northwestern St.,1997,96.1196,106.937,69.2084,-10.8177,-10.817399999999992,
VMI,1997,95.3745,106.374,75.5869,-10.9992,-10.999499999999998,
Portland St.,1997,97.6605,108.837,62.5423,-11.176,-11.176500000000004,
Bethune Cookman,1997,96.2286,107.44,66.8163,-11.211,-11.211399999999998,
Tennessee Martin,1997,91.1886,102.678,67.8257,-11.4894,-11.489400000000003,
Youngstown St.,1997,100.193,111.936,59.1239,-11.7429,-11.74300000000001,
UMKC,1997,97.7516,109.766,68.3094,-12.014,-12.014400000000009,
Northeastern,1997,95.4771,107.8,66.0961,-12.3229,-12.322900000000004,
Samford,1997,95.07,107.503,63.7689,-12.4329,-12.433000000000007,
Yale,1997,94.4222,106.896,64.884,-12.4736,-12.473799999999997,
Central Connecticut,1997,92.7717,105.294,64.2474,-12.5218,-12.522300000000001,
St. Francis NY,1997,93.5392,106.233,65.6897,-12.6939,-12.69380000000001,
Maryland Eastern Shore,1997,93.7596,106.846,71.1124,-13.0864,-13.086399999999998,
Eastern Illinois,1997,98.6901,111.889,70.0263,-13.1991,-13.198899999999995,
Nicholls St.,1997,104.347,117.582,71.0765,-13.2355,-13.235,
Texas Southern,1997,97.1659,110.872,68.1105,-13.7057,-13.706100000000006,
Alcorn St.,1997,92.7397,106.626,72.59,-13.8867,-13.886300000000006,
Coastal Carolina,1997,95.0087,109.119,64.9408,-14.1099,-14.110299999999995,
Stephen F. Austin,1997,91.0038,105.316,74.9515,-14.3126,-14.312200000000004,
Wisconsin Milwaukee,1997,89.2501,103.834,65.6975,-14.5839,-14.5839,
UTSA,1997,97.7208,112.383,71.5833,-14.6624,-14.662199999999999,
Jacksonville,1997,97.7342,112.411,76.8544,-14.677,-14.6768,
New Hampshire,1997,90.1363,104.893,64.1721,-14.7568,-14.756699999999995,
Furman,1997,92.7708,107.543,67.0854,-14.7719,-14.772200000000012,
Winthrop,1997,93.7024,108.584,72.1407,-14.8814,-14.881600000000006,
Eastern Washington,1997,96.5256,111.595,68.4066,-15.0692,-15.069400000000002,
Robert Morris,1997,93.6677,108.81,68.0207,-15.1421,-15.142300000000006,
Hampton,1997,90.0669,105.315,70.3709,-15.2485,-15.248099999999994,
Morgan St.,1997,91.4905,106.844,71.5531,-15.3537,-15.353499999999997,
Holy Cross,1997,90.2816,105.987,71.3568,-15.7051,-15.705399999999997,
Columbia,1997,97.4767,113.318,64.8068,-15.8415,-15.841300000000004,
UT Arlington,1997,95.0289,110.872,62.2746,-15.8428,-15.843100000000007,
Brown,1997,86.4853,102.397,63.0954,-15.9114,-15.91170000000001,
Campbell,1997,94.1189,110.18,66.1772,-16.0611,-16.06110000000001,
Morehead St.,1997,99.0567,115.21,75.0327,-16.1535,-16.153299999999987,
Lafayette,1997,90.3391,106.549,71.2253,-16.2103,-16.209900000000005,
Florida A&M,1997,89.0433,106.276,74.4297,-17.2325,-17.232699999999994,
BYU,1997,92.3701,109.891,68.6703,-17.5206,-17.52090000000001,
Georgia St.,1997,94.7482,112.304,65.2721,-17.5559,-17.555800000000005,
Army,1997,97.4367,115.487,69.0081,-18.0499,-18.050299999999993,
Marist,1997,92.8028,110.937,64.1352,-18.1344,-18.134199999999993,
Sam Houston St.,1997,95.2435,113.386,64.3683,-18.1428,-18.1425,
Southern,1997,95.9577,114.193,75.6238,-18.2357,-18.235299999999995,
Eastern Kentucky,1997,91.7869,110.024,69.6525,-18.2372,-18.237099999999998,
Jacksonville St.,1997,92.8952,111.209,69.7405,-18.3143,-18.3138,
Delaware St.,1997,89.9865,108.613,71.7603,-18.6267,-18.626499999999993,
Grambling St.,1997,93.3058,112.131,65.2788,-18.8254,-18.825199999999995,
Howard,1997,94.9603,113.796,72.6449,-18.8357,-18.835700000000003,
Chicago St.,1997,90.9419,109.781,77.9468,-18.8392,-18.839100000000002,
Wofford,1997,91.6348,111.054,68.6238,-19.4191,-19.419200000000004,
Stetson,1997,91.4973,111.38,62.5198,-19.8824,-19.8827,
Alabama St.,1997,90.4972,110.992,65.4328,-20.4945,-20.494799999999998,
Prairie View A&M,1997,86.3988,107.105,75.9707,-20.7061,-20.70620000000001,
UMBC,1997,86.5722,107.404,65.7228,-20.8323,-20.8318,
Texas Pan American,1997,87.5341,108.434,62.5097,-20.8998,-20.899900000000002,
Southeastern Louisiana,1997,90.0376,111.288,72.7814,-21.2504,-21.2504,
Centenary,1997,93.3384,115.026,72.1232,-21.688,-21.687600000000003,
UCF,1997,89.7859,112.093,71.9097,-22.307,-22.307100000000005,
Sacramento St.,1997,87.6174,110.017,68.334,-22.3999,-22.399599999999992,
East Tennessee St.,1997,85.7343,108.248,65.8451,-22.5138,-22.5137,
UC Irvine,1997,85.3244,109.066,68.3702,-23.7411,-23.741600000000005,
Georgia Southern,1997,88.2744,112.55,65.8145,-24.2754,-24.275599999999997,
Lehigh,1997,90.5287,118.374,71.3425,-27.8451,-27.845299999999995,
Mercer,1997,87.0562,122.416,68.6483,-35.3598,-35.35979999999999,
Duke,1998,120.195,85.3607,72.2983,34.8346,34.8343,
North Carolina,1998,126.184,91.5556,67.609,34.6289,34.6284,
Kentucky,1998,119.351,90.1374,69.9413,29.2137,29.2136,
Arizona,1998,120.675,92.8299,75.0791,27.8449,27.845100000000002,
Connecticut,1998,115.374,89.3741,68.5471,26.0004,25.999899999999997,
Kansas,1998,116.138,90.8987,72.3583,25.239,25.2393,
Utah,1998,115.442,90.5366,63.4383,24.9056,24.905399999999986,
Purdue,1998,119.394,94.8011,71.7764,24.5928,24.5929,
Stanford,1998,118.016,94.1842,68.0857,23.8315,23.8318,
Michigan St.,1998,112.999,89.5835,68.0834,23.4158,23.415499999999994,
Michigan,1998,117.549,94.4291,68.3272,23.1198,23.1199,
Xavier,1998,115.806,93.0588,73.4017,22.7476,22.747199999999992,
Clemson,1998,116.442,93.814,65.6548,22.6277,22.628,
Cincinnati,1998,112.161,90.1449,68.4742,22.0158,22.016099999999994,
Princeton,1998,115.904,94.172,58.4609,21.7325,21.732,
Maryland,1998,109.747,88.7113,75.0782,21.0352,21.035700000000006,
Mississippi,1998,112.914,92.2687,72.381,20.645,20.645300000000006,
TCU,1998,114.644,94.2185,79.254,20.4259,20.4255,
West Virginia,1998,112.894,92.8605,72.4557,20.0334,20.033500000000004,
Illinois,1998,109.994,90.6014,66.7079,19.3924,19.3926,
Iowa,1998,114.68,95.6677,71.1406,19.0127,19.01230000000001,
New Mexico,1998,117.783,100.553,64.7533,17.2295,17.230000000000004,
Indiana,1998,114.423,97.4213,71.6288,17.0021,17.0017,
Arkansas,1998,110.014,93.1902,77.111,16.8236,16.82379999999999,
Temple,1998,109.622,92.9133,62.7873,16.7082,16.708699999999993,
UNC Charlotte,1998,111.025,94.3703,70.3681,16.6552,16.654700000000005,
Rhode Island,1998,115.257,98.679,70.4684,16.5782,16.578000000000003,
Massachusetts,1998,110.487,94.2164,64.9171,16.2711,16.2706,
Detroit,1998,111.897,95.8177,66.751,16.079,16.079300000000003,
Georgia,1998,110.744,94.8436,70.091,15.9006,15.900400000000005,
Florida St.,1998,108.513,92.7386,70.3023,15.774,15.7744,
Oklahoma St.,1998,112.229,96.6673,66.7046,15.5615,15.561700000000002,
UCLA,1998,114.834,99.2893,74.8393,15.5452,15.544700000000006,
South Carolina,1998,110.298,95.0557,67.7477,15.2427,15.2423,
Georgia Tech,1998,109.267,94.1421,72.3137,15.1249,15.124899999999997,
Tennessee,1998,107.217,92.6147,73.7024,14.6027,14.6023,
St. John's,1998,109.763,95.2022,68.3423,14.5612,14.5608,
Syracuse,1998,107.507,92.9823,68.6016,14.5243,14.52470000000001,
Gonzaga,1998,114.837,100.492,69.9564,14.3448,14.344999999999999,
Miami FL,1998,101.937,87.952,71.5082,13.9855,13.985,
Illinois Chicago,1998,114.515,100.828,68.0361,13.6872,13.686999999999998,
Western Michigan,1998,111.122,97.4464,71.754,13.6753,13.675600000000003,
Illinois St.,1998,109.025,95.4356,71.2624,13.5893,13.589400000000012,
Washington,1998,110.732,97.3879,73.4809,13.3438,13.344099999999997,
Iona,1998,110.077,96.7512,71.0631,13.3258,13.325800000000001,
Pacific,1998,112.604,99.4179,63.9562,13.1858,13.186099999999996,
Minnesota,1998,111.029,98.0839,68.3208,12.9452,12.945099999999996,
NC State,1998,107.806,94.8859,61.5964,12.9199,12.92009999999999,
South Alabama,1998,104.419,91.8793,60.5697,12.5393,12.539699999999996,
Vanderbilt,1998,110.372,97.8337,70.2754,12.5383,12.538300000000007,
George Washington,1998,106.768,94.2648,70.2785,12.5033,12.503200000000007,
Saint Louis,1998,104.082,91.6729,67.8036,12.4092,12.409099999999995,
Penn St.,1998,110.763,98.4056,68.8489,12.3578,12.357399999999998,
Hawaii,1998,108.533,96.5166,70.4103,12.0167,12.016400000000004,
Southern Miss,1998,105.165,93.4445,66.7718,11.7204,11.720500000000001,
Marquette,1998,102.093,90.5644,65.787,11.5289,11.528599999999997,
Oklahoma,1998,110.431,99.3571,66.3282,11.0741,11.073899999999995,
Rutgers,1998,107.905,96.8768,67.1414,11.0285,11.028199999999998,
Richmond,1998,113.548,102.536,63.6048,11.0118,11.012,
Wake Forest,1998,109.794,98.9577,64.9108,10.8361,10.836299999999994,
San Francisco,1998,108.373,97.8865,67.6026,10.4863,10.486500000000007,
California,1998,101.663,91.3178,70.3705,10.3456,10.345199999999991,
Murray St.,1998,112.291,102.127,72.3286,10.1637,10.164000000000001,
Dayton,1998,111.136,100.983,68.0885,10.1529,10.152999999999992,
Eastern Michigan,1998,114.288,104.235,71.445,10.0524,10.052999999999997,
Nebraska,1998,103.715,93.7796,70.522,9.93548,9.935400000000001,
