season,team_a,team_b,team_a_seed,team_b_seed,score_a,score_b,winner
2003,Wisconsin,Tulsa,5,13,61,60,1
2003,Auburn,Wake Forest,10,2,68,62,1
2003,Butler,Louisville,12,4,79,71,1
2003,Kentucky,Utah,1,9,74,54,1
2003,Maryland,Xavier,6,3,77,64,1
2003,Michigan St.,Florida,7,2,68,46,1
2003,Pittsburgh,Indiana,2,7,74,52,1
2003,Syracuse,Oklahoma St.,3,6,68,56,1
2003,Texas,Purdue,1,9,77,67,1
2003,Arizona,Notre Dame,1,5,88,71,1
2003,Kansas,Duke,2,3,69,65,1
2003,Kentucky,Wisconsin,1,5,63,57,1
2003,Marquette,Pittsburgh,3,2,77,74,1
2003,Michigan St.,Maryland,7,6,60,58,1
2003,Oklahoma,Butler,1,12,65,54,1
2003,Syracuse,Auburn,3,10,79,78,1
2003,Texas,Connecticut,1,5,82,78,1
2003,Kansas,Arizona,2,1,78,75,1
2003,Marquette,Kentucky,3,1,83,69,1
2003,Syracuse,Oklahoma,3,1,63,47,1
2003,Texas,Michigan St.,1,7,85,76,1
2003,Kansas,Marquette,2,3,94,61,1
2003,Syracuse,Texas,3,1,95,84,1
2003,Syracuse,Kansas,3,2,81,78,1
2004,Florida A&M,Lehigh,16,16,72,57,1
2004,Alabama,Southern Illinois,8,9,65,64,1
2004,Connecticut,Vermont,2,15,70,53,1
2004,DePaul,Dayton,7,10,76,69,1
2004,Duke,Alabama St.,1,16,96,61,1
2004,Gonzaga,Valparaiso,2,15,76,49,1
2004,Manhattan,Florida,12,5,75,60,1
2004,Maryland,UTEP,4,13,86,83,1
2004,Nevada,Michigan St.,10,7,72,66,1
2004,North Carolina,Air Force,6,11,63,52,1
2004,Seton Hall,Arizona,8,9,80,76,1
2004,St. Joseph's,Liberty,1,16,82,63,1
2004,Stanford,UTSA,1,16,71,45,1
2004,Syracuse,BYU,5,12,80,75,1
2004,Texas,Princeton,3,14,66,49,1
2004,Texas Tech,Charlotte,8,9,76,73,1
2004,Wake Forest,VCU,4,13,79,78,1
2004,Boston College,Utah,6,11,58,51,1
2004,Cincinnati,East Tennessee St.,4,13,80,77,1
2004,Georgia Tech,Northern Iowa,3,14,65,60,1
2004,Illinois,Murray St.,5,12,72,53,1
2004,Kansas,Illinois Chicago,4,13,78,53,1
2004,Kentucky,Florida A&M,1,16,96,76,1
2004,Memphis,South Carolina,7,10,59,43,1
2004,Mississippi St.,Monmouth,2,15,85,52,1
2004,NC State,Louisiana,3,14,61,52,1
2004,Oklahoma St.,Eastern Washington,2,15,75,56,1
2004,Pacific,Providence,12,5,66,58,1
2004,Pittsburgh,UCF,3,14,53,44,1
2004,UAB,Washington,9,8,102,100,1
2004,Vanderbilt,Western Michigan,6,11,71,58,1
2004,Wisconsin,Richmond,6,11,76,64,1
2004,Xavier,Louisville,7,10,80,70,1
2004,Alabama,Stanford,8,1,70,67,1
2004,Connecticut,DePaul,2,7,72,55,1
2004,Duke,Seton Hall,1,8,90,62,1
2004,Nevada,Gonzaga,10,2,91,72,1
2004,St. Joseph's,Texas Tech,1,8,70,65,1
2004,Syracuse,Maryland,5,4,72,70,1
2004,Texas,North Carolina,3,6,78,75,1
2004,Wake Forest,Manhattan,4,12,84,80,1
2004,Georgia Tech,Boston College,3,6,57,54,1
2004,Illinois,Cincinnati,5,4,92,68,1
2004,Kansas,Pacific,4,12,78,63,1
2004,Oklahoma St.,Memphis,2,7,70,53,1
2004,Pittsburgh,Wisconsin,3,6,59,55,1
2004,UAB,Kentucky,9,1,76,75,1
2004,Vanderbilt,NC State,6,3,75,73,1
2004,Xavier,Mississippi St.,7,2,89,74,1
2004,Alabama,Syracuse,8,5,80,71,1
2004,Connecticut,Vanderbilt,2,6,73,53,1
2004,Oklahoma St.,Pittsburgh,2,3,63,51,1
2004,St. Joseph's,Wake Forest,1,4,84,80,1
2004,Duke,Illinois,1,5,72,62,1
2004,Georgia Tech,Nevada,3,10,72,67,1
2004,Kansas,UAB,4,9,100,74,1
2004,Xavier,Texas,7,3,79,71,1
2004,Connecticut,Alabama,2,8,87,71,1
2004,Oklahoma St.,St. Joseph's,2,1,64,62,1
2004,Duke,Xavier,1,7,66,63,1
2004,Georgia Tech,Kansas,3,4,79,71,1
2004,Connecticut,Duke,2,1,79,78,1
2004,Georgia Tech,Oklahoma St.,3,2,67,65,1
2004,Connecticut,Georgia Tech,2,3,82,73,1
2005,Oakland,Alabama A&M,16,16,79,69,1
2005,Arizona,Utah St.,3,14,66,53,1
2005,Boston College,Penn,4,13,85,65,1
2005,Cincinnati,Iowa,7,10,76,64,1
2005,Gonzaga,Winthrop,3,14,74,64,1
2005,Illinois,Fairleigh Dickinson,1,16,67,55,1
2005,Kentucky,Eastern Kentucky,2,15,72,64,1
2005,Nevada,Texas,9,8,61,57,1
2005,Oklahoma,Niagara,3,14,84,67,1
2005,Pacific,Pittsburgh,8,9,79,71,1
2005,Texas Tech,UCLA,6,11,78,66,1
2005,UAB,LSU,11,6,82,68,1
2005,Utah,UTEP,6,11,60,54,1
2005,Wake Forest,Chattanooga,2,15,70,54,1
2005,Washington,Montana,1,16,88,77,1
2005,West Virginia,Creighton,7,10,63,61,1
2005,Wisconsin Milwaukee,Alabama,12,5,83,73,1
2005,Bucknell,Kansas,14,3,64,63,1
2005,Connecticut,UCF,2,15,77,71,1
2005,Duke,Delaware St.,1,16,57,46,1
2005,Florida,Ohio,4,13,67,62,1
2005,Georgia Tech,George Washington,5,12,80,68,1
2005,Iowa St.,Minnesota,9,8,64,53,1
2005,Louisville,Louisiana,4,13,68,62,1
2005,Michigan St.,Old Dominion,5,12,89,81,1
2005,Mississippi St.,Stanford,9,8,93,70,1
2005,NC State,Charlotte,10,7,75,63,1
2005,North Carolina,Oakland,1,16,96,68,1
2005,Oklahoma St.,Southeastern Louisiana,2,15,63,50,1
2005,Southern Illinois,St. Mary's,7,10,65,56,1
2005,Vermont,Syracuse,13,4,60,57,1
2005,Villanova,New Mexico,5,12,55,47,1
2005,Wisconsin,Northern Iowa,6,11,57,52,1
2005,Arizona,UAB,3,11,85,63,1
2005,Illinois,Nevada,1,9,71,59,1
2005,Kentucky,Cincinnati,2,7,69,60,1
2005,Texas Tech,Gonzaga,6,3,71,69,1
2005,Utah,Oklahoma,6,3,67,58,1
2005,Washington,Pacific,1,8,97,79,1
2005,West Virginia,Wake Forest,7,2,111,105,1
2005,Wisconsin Milwaukee,Boston College,12,4,83,75,1
2005,Duke,Mississippi St.,1,9,63,55,1
2005,Louisville,Georgia Tech,4,5,76,54,1
2005,Michigan St.,Vermont,5,13,72,61,1
2005,NC State,Connecticut,10,2,65,62,1
2005,North Carolina,Iowa St.,1,9,92,65,1
2005,Oklahoma St.,Southern Illinois,2,7,85,77,1
2005,Villanova,Florida,5,4,76,65,1
2005,Wisconsin,Bucknell,6,14,71,62,1
2005,Arizona,Oklahoma St.,3,2,79,78,1
2005,Illinois,Wisconsin Milwaukee,1,12,77,63,1
2005,Louisville,Washington,4,1,93,79,1
2005,West Virginia,Texas Tech,7,6,65,60,1
2005,Kentucky,Utah,2,6,62,52,1
2005,Michigan St.,Duke,5,1,78,68,1
2005,North Carolina,Villanova,1,5,67,66,1
2005,Wisconsin,NC State,6,10,65,56,1
2005,Illinois,Arizona,1,3,90,89,1
2005,Louisville,West Virginia,4,7,93,85,1
2005,Michigan St.,Kentucky,5,2,94,88,1
2005,North Carolina,Wisconsin,1,6,88,82,1
2005,Illinois,Louisville,1,4,72,57,1
2005,North Carolina,Michigan St.,1,5,87,71,1
2005,North Carolina,Illinois,1,1,75,70,1
2006,Monmouth,Hampton,16,16,71,49,1
2006,Alabama,Marquette,10,7,90,85,1
2006,Boston College,Pacific,4,13,88,76,1
2006,Duke,Southern,1,16,70,54,1
2006,Florida,South Alabama,3,14,76,50,1
2006,George Washington,UNC Wilmington,8,9,88,85,1
2006,Gonzaga,Xavier,3,14,79,75,1
2006,Illinois,Air Force,4,13,78,69,1
2006,Indiana,San Diego St.,6,11,87,83,1
2006,LSU,Iona,4,13,80,64,1
2006,Montana,Nevada,12,5,87,79,1
2006,Tennessee,Winthrop,2,15,63,61,1
2006,Texas A&M,Syracuse,12,5,66,58,1
2006,UCLA,Belmont,2,15,78,44,1
2006,Washington,Utah St.,5,12,75,61,1
2006,Wisconsin Milwaukee,Oklahoma,11,6,82,74,1
2006,Wichita St.,Seton Hall,7,10,86,66,1
2006,Arizona,Wisconsin,8,9,94,75,1
2006,Bradley,Kansas,13,4,77,73,1
2006,Bucknell,Arkansas,9,8,59,55,1
2006,Connecticut,Albany,1,16,72,59,1
2006,George Mason,Michigan St.,11,6,75,65,1
2006,Georgetown,Northern Iowa,7,10,54,49,1
2006,Kentucky,UAB,8,9,69,64,1
2006,Memphis,Oral Roberts,1,16,94,78,1
2006,NC State,California,10,7,58,52,1
2006,North Carolina,Murray St.,3,14,69,65,1
2006,Northwestern St.,Iowa,14,3,64,63,1
2006,Ohio St.,Davidson,2,15,70,62,1
2006,Pittsburgh,Kent,5,12,79,64,1
2006,Texas,Penn,2,15,60,52,1
2006,Villanova,Monmouth,1,16,58,45,1
2006,West Virginia,Southern Illinois,6,11,64,46,1
2006,Boston College,Montana,4,12,69,56,1
2006,Duke,George Washington,1,8,74,61,1
2006,Florida,Wisconsin Milwaukee,3,11,82,60,1
2006,Gonzaga,Indiana,3,6,90,80,1
2006,LSU,Texas A&M,4,12,58,57,1
2006,UCLA,Alabama,2,10,62,59,1
2006,Washington,Illinois,5,4,67,64,1
2006,Wichita St.,Tennessee,7,2,80,73,1
2006,Bradley,Pittsburgh,13,5,72,66,1
2006,Connecticut,Kentucky,1,8,87,83,1
2006,George Mason,North Carolina,11,3,65,60,1
2006,Georgetown,Ohio St.,7,2,70,52,1
2006,Memphis,Bucknell,1,9,72,56,1
2006,Texas,NC State,2,10,75,54,1
2006,Villanova,Arizona,1,8,82,78,1
2006,West Virginia,Northwestern St.,6,14,67,54,1
2006,LSU,Duke,4,1,62,54,1
2006,Memphis,Bradley,1,13,80,64,1
2006,Texas,West Virginia,2,6,74,71,1
2006,UCLA,Gonzaga,2,3,73,71,1
2006,Connecticut,Washington,1,5,98,92,1
2006,Florida,Georgetown,3,7,57,53,1
2006,George Mason,Wichita St.,11,7,63,55,1
2006,Villanova,Boston College,1,4,60,59,1
2006,LSU,Texas,4,2,70,60,1
2006,UCLA,Memphis,2,1,50,45,1
2006,Florida,Villanova,3,1,75,62,1
2006,George Mason,Connecticut,11,1,86,84,1
2006,Florida,George Mason,3,11,73,58,1
2006,UCLA,LSU,2,4,59,45,1
2006,Florida,UCLA,3,2,73,57,1
2007,Niagara,Florida A&M,16,16,77,69,1
2007,Boston College,Texas Tech,7,10,84,75,1
2007,Butler,Old Dominion,5,12,57,46,1
2007,Georgetown,Belmont,2,15,80,55,1
2007,Indiana,Gonzaga,7,10,70,57,1
2007,Louisville,Stanford,6,11,78,58,1
2007,Maryland,Davidson,4,13,82,70,1
2007,Michigan St.,Marquette,9,8,61,49,1
2007,North Carolina,Eastern Kentucky,1,16,86,65,1
2007,Ohio St.,Central Connecticut,1,16,78,57,1
2007,Pittsburgh,Wright St.,3,14,79,58,1
2007,Texas A&M,Penn,3,14,68,52,1
2007,UCLA,Weber St.,2,15,70,42,1
2007,VCU,Duke,11,6,79,77,1
2007,Vanderbilt,George Washington,6,11,77,44,1
2007,Washington St.,Oral Roberts,3,14,70,54,1
2007,Xavier,BYU,9,8,79,77,1
2007,Florida,Jackson St.,1,16,112,69,1
2007,Kansas,Niagara,1,16,107,67,1
2007,Kentucky,Villanova,8,9,67,58,1
2007,Memphis,North Texas,2,15,73,58,1
2007,Nevada,Creighton,7,10,77,71,1
2007,Oregon,Miami OH,3,14,58,56,1
2007,Purdue,Arizona,9,8,72,63,1
2007,Southern Illinois,Holy Cross,4,13,61,51,1
2007,Tennessee,Long Beach St.,5,12,121,86,1
2007,Texas,New Mexico St.,4,13,79,67,1
2007,UNLV,Georgia Tech,7,10,67,63,1
2007,USC,Arkansas,5,12,77,60,1
2007,Virginia,Albany,4,13,84,57,1
2007,Virginia Tech,Illinois,5,12,54,52,1
2007,Winthrop,Notre Dame,11,6,74,64,1
2007,Wisconsin,Texas A&M Corpus Christi,2,15,76,63,1
2007,Butler,Maryland,5,4,62,59,1
2007,Georgetown,Boston College,2,7,62,55,1
2007,North Carolina,Michigan St.,1,9,81,67,1
2007,Ohio St.,Xavier,1,9,78,71,1
2007,Pittsburgh,VCU,3,11,84,79,1
2007,Texas A&M,Louisville,3,6,72,69,1
2007,UCLA,Indiana,2,7,54,49,1
2007,Vanderbilt,Washington St.,6,3,78,74,1
2007,Florida,Purdue,1,9,74,67,1
2007,Kansas,Kentucky,1,8,88,76,1
2007,Memphis,Nevada,2,7,78,62,1
2007,Oregon,Winthrop,3,11,75,61,1
2007,Southern Illinois,Virginia Tech,4,5,63,48,1
2007,Tennessee,Virginia,5,4,77,74,1
2007,UNLV,Wisconsin,7,2,74,68,1
2007,USC,Texas,5,4,87,68,1
2007,Kansas,Southern Illinois,1,4,61,58,1
2007,Memphis,Texas A&M,2,3,65,64,1
2007,Ohio St.,Tennessee,1,5,85,84,1
2007,UCLA,Pittsburgh,2,3,64,55,1
2007,Florida,Butler,1,5,65,57,1
2007,Georgetown,Vanderbilt,2,6,66,65,1
2007,North Carolina,USC,1,5,74,64,1
2007,Oregon,UNLV,3,7,76,72,1
2007,Ohio St.,Memphis,1,2,92,76,1
2007,UCLA,Kansas,2,1,68,55,1
2007,Florida,Oregon,1,3,85,77,1
2007,Georgetown,North Carolina,2,1,96,84,1
2007,Florida,UCLA,1,2,76,66,1
2007,Ohio St.,Georgetown,1,2,67,60,1
2007,Florida,Ohio St.,1,1,84,75,1
2008,Mount St. Mary's,Coppin St.,16,16,69,60,1
2008,Duke,Belmont,2,15,71,70,1
2008,Kansas,Portland St.,1,16,85,61,1
2008,Kansas St.,USC,11,6,80,67,1
2008,Marquette,Kentucky,6,11,74,66,1
2008,Michigan St.,Temple,5,12,72,61,1
2008,Notre Dame,George Mason,5,12,68,50,1
2008,Pittsburgh,Oral Roberts,4,13,82,63,1
2008,Purdue,Baylor,6,11,90,79,1
2008,Stanford,Cornell,3,14,77,53,1
2008,Texas A&M,BYU,9,8,67,62,1
2008,UCLA,Mississippi Valley St.,1,16,70,29,1
2008,UNLV,Kent,8,9,71,58,1
2008,Washington St.,Winthrop,4,13,71,40,1
2008,West Virginia,Arizona,7,10,75,65,1
2008,Wisconsin,Cal St. Fullerton,3,14,71,56,1
2008,Xavier,Georgia,3,14,73,61,1
2008,Arkansas,Indiana,9,8,86,72,1
2008,Butler,South Alabama,7,10,81,61,1
2008,Davidson,Gonzaga,10,7,82,76,1
2008,Georgetown,UMBC,2,15,66,47,1
2008,Louisville,Boise St.,3,14,79,61,1
2008,Memphis,UT Arlington,1,16,87,63,1
2008,Miami FL,St. Mary's,7,10,78,64,1
2008,Mississippi St.,Oregon,8,9,76,69,1
2008,North Carolina,Mount St. Mary's,1,16,113,74,1
2008,Oklahoma,St. Joseph's,6,11,72,64,1
2008,San Diego,Connecticut,13,4,70,69,1
2008,Siena,Vanderbilt,13,4,83,62,1
2008,Tennessee,American,2,15,72,57,1
2008,Texas,Austin Peay,2,15,74,54,1
2008,Villanova,Clemson,12,5,75,69,1
2008,Western Kentucky,Drake,12,5,101,99,1
2008,Kansas,UNLV,1,8,75,56,1
2008,Michigan St.,Pittsburgh,5,4,65,54,1
2008,Stanford,Marquette,3,6,82,81,1
2008,UCLA,Texas A&M,1,9,51,49,1
2008,Washington St.,Notre Dame,4,5,61,41,1
2008,West Virginia,Duke,7,2,73,67,1
2008,Wisconsin,Kansas St.,3,11,72,55,1
2008,Xavier,Purdue,3,6,85,78,1
2008,Davidson,Georgetown,10,2,74,70,1
2008,Louisville,Oklahoma,3,6,78,48,1
2008,Memphis,Mississippi St.,1,8,77,74,1
2008,North Carolina,Arkansas,1,9,108,77,1
2008,Tennessee,Butler,2,7,76,71,1
2008,Texas,Miami FL,2,7,75,72,1
2008,Villanova,Siena,12,13,84,72,1
2008,Western Kentucky,San Diego,12,13,72,63,1
2008,Louisville,Tennessee,3,2,79,60,1
2008,North Carolina,Washington St.,1,4,68,47,1
2008,UCLA,Western Kentucky,1,12,88,78,1
2008,Xavier,West Virginia,3,7,79,75,1
2008,Davidson,Wisconsin,10,3,73,56,1
2008,Kansas,Villanova,1,12,72,57,1
2008,Memphis,Michigan St.,1,5,92,74,1
2008,Texas,Stanford,2,3,82,62,1
2008,North Carolina,Louisville,1,3,83,73,1
2008,UCLA,Xavier,1,3,76,57,1
2008,Kansas,Davidson,1,10,59,57,1
2008,Memphis,Texas,1,2,85,67,1
2008,Kansas,North Carolina,1,1,84,66,1
2008,Memphis,UCLA,1,1,78,63,1
2008,Kansas,Memphis,1,1,75,68,1
2009,Morehead St.,Alabama St.,16,16,58,43,1
2009,Connecticut,Chattanooga,1,16,103,47,1
2009,Duke,Binghamton,2,15,86,62,1
2009,Gonzaga,Akron,4,13,77,64,1
2009,LSU,Butler,8,9,75,71,1
2009,Maryland,California,10,7,84,71,1
2009,Memphis,Cal St. Northridge,2,15,81,70,1
2009,Michigan,Clemson,10,7,62,59,1
2009,North Carolina,Radford,1,16,101,58,1
2009,Oklahoma,Morgan St.,2,15,82,54,1
2009,Purdue,Northern Iowa,5,12,61,56,1
2009,Texas,Minnesota,7,10,76,62,1
2009,Texas A&M,BYU,9,8,79,66,1
2009,UCLA,VCU,6,11,65,64,1
2009,Villanova,American,3,14,80,67,1
2009,Western Kentucky,Illinois,12,5,76,72,1
2009,Washington,Mississippi St.,4,13,71,58,1
2009,Arizona,Utah,12,5,84,71,1
2009,Arizona St.,Temple,6,11,66,57,1
2009,Cleveland St.,Wake Forest,13,4,84,69,1
2009,Dayton,West Virginia,11,6,68,60,1
2009,Kansas,North Dakota St.,3,14,84,74,1
2009,Louisville,Morehead St.,1,16,74,54,1
2009,Marquette,Utah St.,6,11,58,57,1
2009,Michigan St.,Robert Morris,2,15,77,62,1
2009,Missouri,Cornell,3,14,78,59,1
2009,Oklahoma St.,Tennessee,8,9,77,75,1
2009,Pittsburgh,East Tennessee St.,1,16,72,62,1
2009,Siena,Ohio St.,9,8,74,72,1
2009,Syracuse,Stephen F. Austin,3,14,59,44,1
2009,USC,Boston College,10,7,72,55,1
2009,Wisconsin,Florida St.,12,5,61,59,1
2009,Xavier,Portland St.,4,13,77,59,1
2009,Connecticut,Texas A&M,1,9,92,66,1
2009,Duke,Texas,2,7,74,69,1
2009,Gonzaga,Western Kentucky,4,12,83,81,1
2009,Memphis,Maryland,2,10,89,70,1
2009,North Carolina,LSU,1,8,84,70,1
2009,Oklahoma,Michigan,2,10,73,63,1
2009,Purdue,Washington,5,4,76,74,1
2009,Villanova,UCLA,3,6,89,69,1
2009,Arizona,Cleveland St.,12,13,71,57,1
2009,Kansas,Dayton,3,11,60,43,1
2009,Louisville,Siena,1,9,79,72,1
2009,Michigan St.,USC,2,10,74,69,1
2009,Missouri,Marquette,3,6,83,79,1
2009,Pittsburgh,Oklahoma St.,1,8,84,76,1
2009,Syracuse,Arizona St.,3,6,78,67,1
2009,Xavier,Wisconsin,4,12,60,49,1
2009,Connecticut,Purdue,1,5,72,60,1
2009,Missouri,Memphis,3,2,102,91,1
2009,Pittsburgh,Xavier,1,4,60,55,1
2009,Villanova,Duke,3,2,77,54,1
2009,Louisville,Arizona,1,12,103,64,1
2009,Michigan St.,Kansas,2,3,67,62,1
2009,North Carolina,Gonzaga,1,4,98,77,1
2009,Oklahoma,Syracuse,2,3,84,71,1
2009,Connecticut,Missouri,1,3,82,75,1
2009,Villanova,Pittsburgh,3,1,78,76,1
2009,Michigan St.,Louisville,2,1,64,52,1
2009,North Carolina,Oklahoma,1,2,72,60,1
2009,Michigan St.,Connecticut,2,1,82,73,1
2009,North Carolina,Villanova,1,3,83,69,1
2009,North Carolina,Michigan St.,1,2,89,72,1
2010,Arkansas Pine Bluff,Winthrop,16,16,61,44,1
2010,Baylor,Sam Houston St.,3,14,68,59,1
2010,Butler,UTEP,5,12,77,59,1
2010,BYU,Florida,7,10,99,92,1
2010,Kansas,Lehigh,1,16,90,74,1
2010,Kansas St.,North Texas,2,15,82,62,1
2010,Kentucky,East Tennessee St.,1,16,100,71,1
2010,Murray St.,Vanderbilt,13,4,66,65,1
2010,New Mexico,Montana,3,14,62,57,1
2010,Northern Iowa,UNLV,9,8,69,66,1
2010,Ohio,Georgetown,14,3,97,83,1
2010,Old Dominion,Notre Dame,11,6,51,50,1
2010,St. Mary's,Richmond,10,7,80,71,1
2010,Tennessee,San Diego St.,6,11,62,59,1
2010,Villanova,Robert Morris,2,15,73,70,1
2010,Wake Forest,Texas,9,8,81,80,1
2010,Washington,Marquette,11,6,80,78,1
2010,California,Louisville,8,9,77,62,1
2010,Cornell,Temple,12,5,78,65,1
2010,Duke,Arkansas Pine Bluff,1,16,73,44,1
2010,Georgia Tech,Oklahoma St.,10,7,64,59,1
2010,Gonzaga,Florida St.,8,9,67,60,1
2010,Maryland,Houston,4,13,89,77,1
2010,Michigan St.,New Mexico St.,5,12,70,67,1
2010,Missouri,Clemson,10,7,86,78,1
2010,Ohio St.,UC Santa Barbara,2,15,68,51,1
2010,Pittsburgh,Oakland,3,14,89,66,1
2010,Purdue,Siena,4,13,72,64,1
2010,Syracuse,Vermont,1,16,79,56,1
2010,Texas A&M,Utah St.,5,12,69,53,1
2010,West Virginia,Morgan St.,2,15,77,50,1
2010,Wisconsin,Wofford,4,13,53,49,1
2010,Xavier,Minnesota,6,11,65,54,1
2010,Baylor,Old Dominion,3,11,76,68,1
2010,Butler,Murray St.,5,13,54,52,1
2010,Kansas St.,BYU,2,7,84,72,1
2010,Kentucky,Wake Forest,1,9,90,60,1
2010,Northern Iowa,Kansas,9,1,69,67,1
2010,St. Mary's,Villanova,10,2,75,68,1
2010,Tennessee,Ohio,6,14,83,68,1
2010,Washington,New Mexico,11,3,82,64,1
2010,Cornell,Wisconsin,12,4,87,69,1
2010,Duke,California,1,8,68,53,1
2010,Michigan St.,Maryland,5,4,85,83,1
2010,Ohio St.,Georgia Tech,2,10,75,66,1
2010,Purdue,Texas A&M,4,5,63,61,1
2010,Syracuse,Gonzaga,1,8,87,65,1
2010,West Virginia,Missouri,2,10,68,59,1
2010,Xavier,Pittsburgh,6,3,71,68,1
2010,Butler,Syracuse,5,1,63,59,1
2010,Kansas St.,Xavier,2,6,101,96,1
2010,Kentucky,Cornell,1,12,62,45,1
2010,West Virginia,Washington,2,11,69,56,1
2010,Baylor,St. Mary's,3,10,72,49,1
2010,Duke,Purdue,1,4,70,57,1
2010,Michigan St.,Northern Iowa,5,9,59,52,1
2010,Tennessee,Ohio St.,6,2,76,73,1
2010,Butler,Kansas St.,5,2,63,56,1
2010,West Virginia,Kentucky,2,1,73,66,1
2010,Duke,Baylor,1,3,78,71,1
2010,Michigan St.,Tennessee,5,6,70,69,1
2010,Butler,Michigan St.,5,5,52,50,1
2010,Duke,West Virginia,1,2,78,57,1
2010,Duke,Butler,1,5,61,59,1
2011,Clemson,UAB,12,12,70,52,1
2011,UNC Asheville,Arkansas Little Rock,16,16,81,77,1
2011,UTSA,Alabama St.,16,16,70,61,1
2011,VCU,USC,11,11,59,46,1
2011,Butler,Old Dominion,8,9,60,58,1
2011,BYU,Wofford,3,14,74,66,1
2011,Cincinnati,Missouri,6,11,78,63,1
2011,Connecticut,Bucknell,3,14,81,52,1
2011,Florida,UC Santa Barbara,2,15,79,51,1
2011,Gonzaga,St. John's,11,6,86,71,1
2011,Kansas St.,Utah St.,5,12,73,68,1
2011,Kentucky,Princeton,4,13,59,57,1
2011,Morehead St.,Louisville,13,4,62,61,1
2011,Pittsburgh,UNC Asheville,1,16,74,51,1
2011,Richmond,Vanderbilt,12,5,69,66,1
2011,San Diego St.,Northern Colorado,2,15,68,50,1
2011,Temple,Penn St.,7,10,66,64,1
2011,UCLA,Michigan St.,7,10,78,76,1
2011,West Virginia,Clemson,5,12,84,76,1
2011,Wisconsin,Belmont,4,13,72,58,1
2011,Arizona,Memphis,5,12,77,75,1
2011,Duke,Hampton,1,16,87,45,1
2011,Florida St.,Texas A&M,10,7,57,50,1
2011,George Mason,Villanova,8,9,61,57,1
2011,Illinois,UNLV,9,8,73,62,1
2011,Kansas,Boston University,1,16,72,53,1
2011,Marquette,Xavier,11,6,66,55,1
2011,Michigan,Tennessee,8,9,75,45,1
2011,North Carolina,LIU Brooklyn,2,15,102,87,1
2011,Notre Dame,Akron,2,15,69,56,1
2011,Ohio St.,UTSA,1,16,75,46,1
2011,Purdue,St. Peter's,3,14,65,43,1
2011,Syracuse,Indiana St.,3,14,77,60,1
2011,Texas,Oakland,4,13,85,81,1
2011,VCU,Georgetown,11,6,74,56,1
2011,Washington,Georgia,7,10,68,65,1
2011,Butler,Pittsburgh,8,1,71,70,1
2011,BYU,Gonzaga,3,11,89,67,1
2011,Connecticut,Cincinnati,3,6,69,58,1
2011,Florida,UCLA,2,7,73,65,1
2011,Kentucky,West Virginia,4,5,71,63,1
2011,Richmond,Morehead St.,12,13,65,48,1
2011,San Diego St.,Temple,2,7,71,64,1
2011,Wisconsin,Kansas St.,4,5,70,65,1
2011,Arizona,Texas,5,4,70,69,1
2011,Duke,Michigan,1,8,73,71,1
2011,Florida St.,Notre Dame,10,2,71,57,1
2011,Kansas,Illinois,1,9,73,59,1
2011,Marquette,Syracuse,11,3,66,62,1
2011,North Carolina,Washington,2,7,86,83,1
2011,Ohio St.,George Mason,1,8,98,66,1
2011,VCU,Purdue,11,3,94,76,1
2011,Arizona,Duke,5,1,93,77,1
